"Name","eval/inter_1_original","eval/inter_1_sorted","eval/inter_2_original","eval/inter_2_sorted","eval/inter_3_original","eval/inter_3_sorted","eval/intra_1_max_sorted","eval/intra_1_mean_sorted","eval/intra_1_min_sorted","eval/intra_2_max_original","eval/intra_2_max_sorted","eval/intra_2_mean_original","eval/intra_2_mean_sorted","eval/intra_2_min_original","eval/intra_2_min_sorted","eval/intra_3_max_original","eval/intra_3_max_sorted","eval/intra_3_mean_original","eval/intra_3_mean_sorted","eval/intra_3_min_original","eval/intra_3_min_sorted","eval/intra_4_max_original","eval/intra_4_max_sorted","eval/intra_4_mean_original","eval/intra_4_mean_sorted","eval/intra_4_min_original","eval/intra_4_min_sorted"
"first_model_kw_Rake_p3_beams_12","0.8498758163922362","0.8498758163922362","0.5625803262481464","0.5706376668314385","0.32119275825346116","0.3427050053248136","0.5157894736842106","0.3311974678287634","0.038461538461538464","0.1348314606741573","0.13761467889908258","0.038224210618788335","0.043985251686369686","0","0","0.06451612903225806","0.15789473684210523","0.0019681378326683995","0.032627427954169716","0","0","0.037037037037037035","0.08333333333333333","0.0001642342246369092","0.017161151815982205","0","0"
"first_model_kw_Rake_p3_beams_10","0.8517608897126969","0.8517608897126969","0.5676834130781498","0.5749102870813397","0.3260600849142796","0.34530015585532325","0.5045045045045045","0.329373056683977","0.0625","0.14444444444444443","0.15841584158415842","0.03757509003695742","0.04259828010235639","0","0","0.037037037037037035","0.1875","0.0016494541982904362","0.03126898578067556","0","0","0.012345679012345678","0.08620689655172414","0.00004142845306156267","0.017230619719858745","0","0"
"first_model_kw_Rake_p3_beams_9","0.8531812938148904","0.8531812938148904","0.5719254776766569","0.5792157049602135","0.32873409930242103","0.3484817398440706","0.4954954954954955","0.33341267700755456","0.038461538461538464","0.14444444444444443","0.14705882352941177","0.0379841434219101","0.043268711372941554","0","0","0.06","0.14814814814814814","0.0020587851076974816","0.030605939034690496","0","0","0.020833333333333332","0.07142857142857142","0.00006991051454138702","0.017327335860375742","0","0"
"first_model_kw_Rake_p3_beams_7","0.8511804191972236","0.8511804191972236","0.564185544768069","0.5715896832401687","0.31762532981530345","0.3392084432717678","0.5433070866141733","0.33281020240098297","0.038461538461538464","0.16806722689075632","0.16806722689075632","0.03671145343712557","0.04133126325425094","0","0","0.05714285714285714","0.1875","0.0013919186458234375","0.029812251263684468","0","0","0.030303030303030304","0.1176470588235294","0.0001987020598455393","0.015428108617608084","0","0"
"first_model_kw_Rake_p3_beams_5","0.852491665584275","0.852491665584275","0.5650555891519746","0.5723124156859096","0.31577892468807933","0.33702460289622693","0.5503875968992248","0.3425300280261705","0.1111111111111111","0.18032786885245905","0.19672131147540983","0.03881744729013111","0.0435299504597482","0","0","0.0425531914893617","0.15","0.00147858355789547","0.027705546372078813","0","0","0.023809523809523808","0.09090909090909093","0.00010653030787258977","0.015621121901985504","0","0"
"first_model_kw_Rake_p3_beams_3","0.8567252665815801","0.8567252665815801","0.5750927070457355","0.5821119547942786","0.32081117021276595","0.34341755319148937","0.5306122448979592","0.35332357081560545","0.10344827586206896","0.15789473684210523","0.15789473684210523","0.04279404098453524","0.046989826942413854","0","0","0.038461538461538464","0.2","0.00159455550380858","0.026520534099916025","0","0","0.01176470588235294","0.09090909090909093","0.00006452145117287624","0.018213569568248433","0","0"
"full_model_12_beams","0.8557003110490015","0.8557003110490015","0.5792759655406059","0.5856645048882005","0.3363536947351976","0.3572879237619122","0.5480769230769231","0.3277515220172491","0.09375","0.14754098360655735","0.17391304347826086","0.03722636598620078","0.041461257752829904","0","0","0.031746031746031744","0.18181818181818185","0.0014093668323163651","0.03015763059481695","0","0","0.017543859649122806","0.09302325581395347","0.00005887201224537854","0.01676605682569416","0","0"
"full_model_10_beams","0.8539305467404117","0.8539305467404117","0.5743447335087206","0.5813115073565234","0.3308140450322784","0.3521230252453682","0.5636363636363636","0.33164398253692023","0.06451612903225806","0.16541353383458646","0.17293233082706766","0.038334940700431655","0.043034975375748005","0","0","0.04","0.13333333333333333","0.0019558957331109205","0.030595967971346973","0","0","0.028169014084507043","0.10606060606060606","0.0001227260920437747","0.018227938054651855","0","0"
"full_model_9_beams","0.8527768947822533","0.8527768947822533","0.5720218899638425","0.578080719241669","0.331066835336285","0.352045119122918","0.5446009389671361","0.33340369703089123","0.13157894736842105","0.1951219512195122","0.2073170731707317","0.0370667907781994","0.042106392750722955","0","0","0.05263157894736842","0.13333333333333333","0.001618628069915574","0.02926821957953277","0","0","0.014285714285714284","0.09302325581395347","0.00009209264772669927","0.0171389634101804","0","0"
"full_model_7_beams","0.8547683082756492","0.8547683082756492","0.5679620853080569","0.5755450236966825","0.3183861082737487","0.3391215526046987","0.5388127853881278","0.3361133549912865","0.13157894736842105","0.16666666666666666","0.1904761904761905","0.03967139115163774","0.04469717130745915","0","0","0.030303030303030304","0.13333333333333333","0.0016403239144897072","0.028696189035039704","0","0","0.00980392156862745","0.10526315789473684","0.00003289906566653507","0.017509549036209517","0","0"
